제목,작가,장르,,,,
1%의어떤것,현고운,로맨스,,,,
18어게인,김도연,판타지,,,,
38사기동대,한정훈,범죄,,,,
60일지정생존자,김태희,정치,,,,
99억의여자,한지훈,스릴러,,,,
IDOL,정윤정,청춘성장,,,,
SF8,김혜진,판타지,,,,
SKY캐슬,유현미,스릴러,,,,
THEK2,장혁린,액션,,,,
VIP,차해원,막장,,,,
가시꽃,이홍구,스릴러,,,,
가시나무새,이선희,멜로,,,,
가족끼리왜이래,강은경,가족,,,,
각시탈,유현미,퓨전사극,,,,
간떨어지는동거,백선우,로맨틱코미디,,,,
간택여인들의전쟁,최수미,퓨전사극,,,,
갯마을차차차,신하은,로맨스,,,,
거짓말의거짓말,김지은,멜로,,,,
검법남녀2,민지은,의학,,,,
검색어를입력하세요WWW,권도은,로맨틱코미디,,,,
검은태양,박석호,액션,,,,
겨울연가,윤은경,멜로,,,,
결혼계약,정유경,멜로,,,,
결혼작사이혼작곡,임성한,막장,,,,
결혼작사이혼작곡2,임성한,막장,,,,
경숙이경숙아버지,박근형,시대극,,,,
경우의수,조승희,로맨틱코미디,,,,
경이로운소문,여지나,액션,,,,
경찰수업,민정,코미디,,,,
계룡선녀전,유경선,판타지,,,,
고교처세왕,양희승,로맨스,,,,
고맙습니다,이경희,가족,,,,
고백부부,권혜주,멜로,,,,
고양이띠요리사,이주희,로맨스,,,,
공작도시,손세동,스릴러,,,,
공주가돌아왔다,박기호,멜로,,,,
공주의남자,조정주,퓨전사극,,,,
공항가는길,이숙연,가족,,,,
광개토태왕,조명주,사극,,,,
괴물,김수진,스릴러,,,,
구가의서,강은경,퓨전사극,,,,
구경이,성초이,스릴러,,,,
구미호뎐,한우리,판타지,,,,
구미호여우누이뎐,오선형,퓨전사극,,,,
구암허준,최완규,사극,,,,
구해줘2,서주연,스릴러,,,,
국가대표와이프,김지완,막장,,,,
국민여러분,한정훈,블랙코미디,,,,
굿닥터,박재범,의학,,,,
굿와이프,한상운,법정,,,,
굿캐스팅,최영훈,액션,,,,
궁중잔혹사꽃들의전쟁,정하연,사극,,,,
귀부인,호영옥,가족,,,,
그겨울바람이분다,노희경,멜로,,,,
그녀는거짓말을너무사랑해,김경민,로맨틱코미디,,,,
그녀들의완벽한하루,김현정,가족,,,,
그녀의사생활,김혜영,로맨스,,,,
그놈이그놈이다,이은영,로맨틱코미디,,,,
그들이사는세상,노희경,로맨스,,,,
그저바라보다가,정진영,로맨틱코미디,,,,
그해우리는,이나은,로맨스,,,,
기막힌유산,김경희,가족,,,,
기황후,장영철,사극,,,,
김과장,박재범,코미디,,,,
김비서가왜그럴까,백선우,로맨틱코미디,,,,
김수로,김미숙,사극,,,,
꼰대인턴,신소라,코미디,,,,
꽃미남라면가게,윤난중,로맨스,,,,
꽃피면달생각하고,김아록,퓨전사극,,,,
나를사랑한스파이,이지민,액션,,,,
나빌레라,이은미,청춘성장,,,,
나쁜아이들,쯔진천,스릴러,,,,
나의나라,채승대,퓨전사극,,,,
나의아저씨,박해영,가족,,,,
나의위험한아내,황다은,멜로,,,,
나인:아홉번의시간여행,송재정,판타지,,,,
나인룸,정성희,판타지,,,,
날씨가좋으면찾아가겠어요,한가람,로맨스,,,,
날아라개천용,박상규,법정,,,,
남자친구,유영아,로맨스,,,,
낭랑18세,김은희,로맨틱코미디,,,,
낭만닥터김사부,강은경,의학,,,,
낭만닥터김사부2,강은경,의학,,,,
낮과밤,신유담,미스터리,,,,
내가가장예뻤을때,조현경,멜로,,,,
내가가장예뻤을때미리보기,조현경,멜로,,,,
내딸금사월,김순옥,막장,,,,
내딸서영이,소현경,막장,,,,
내일그대와,허성혜,로맨틱판타지,,,,
너는나의봄,이미나,로맨스,,,,
너는내운명,문은아,막장,,,,
너를닮은사람,유보라,멜로,,,,
너의밤이되어줄게,서정은,로맨틱코미디,,,,
넝쿨째굴러온당신,박지은,가족,,,,
녹두꽃,정현민,퓨전사극,,,,
농부사관학교,이윤보,청춘성장,,,,
놓지마정신줄,신태훈,코미디,,,,
누가뭐래도,고봉황,가족,,,,
눈이부시게,이남규,로맨틱판타지,,,,
느낌,김영찬,청춘성장,,,,
다시첫사랑,박필주,멜로,,,,
다크홀,정이도,미스터리,,,,
닥터스,하명희,의학,,,,
닥터프리즈너,박계옥,의학,,,,
단짠오피스,장진아,로맨스,,,,
단하나의사랑,최윤교,로맨틱판타지,,,,
달리와감자탕,손은혜,로맨틱판타지,,,,
달의연인-보보경심:려,조윤영,퓨전사극,,,,
달이뜨는강,한지훈,퓨전사극,,,,
당신이잠든사이에,박혜련,로맨틱판타지,,,,
대박부동산,하수진,판타지,,,,
대장금,김영현,사극,,,,
대조영,장영철,사극,,,,
대추나무사랑걸렸네,양근승,가족,,,,
더로드1의비극,윤희정,미스터리,,,,
더킹영원의군주,김은숙,로맨틱판타지,,,,
더패키지,천성일,코미디,,,,
도깨비,김은숙,로맨틱판타지,,,,
도도솔솔라라솔,오지영,로맨틱코미디,,,,
동네변호사조들호2:죄와벌,김서연,법정,,,,
동백꽃필무렵,임상춘,멜로,,,,
동안미녀,오선형,로맨스,,,,
동이,김이영,사극,,,,
동정부부요안루갈다,박민형,종교,,,,
두번째남편,서현주,막장,,,,
두번째스무살,소현경,로맨스,,,,
드라마강완숙,박민형,사극,,,,
드라마나쁜녀석들,한정훈,액션,,,,
드라마숨바꼭질,설경은,미스터리,,,,
드라마월드,노희경,청춘성장,,,,
디어마이프렌즈,박해영,로맨틱코미디,,,,
또오해영,노희경,로맨틱코미디,,,,
라이브,방유정,청춘성장,,,,
라이브온,이대일,로맨틱코미디,,,,
라이프온마스,설경은,미스터리,,,,
라켓소년단,정보훈,스포츠,,,,
런온,박시현,로맨스,,,,
로맨스는별책부록,정현정,로맨스,,,,
로스쿨,서인,미스터리,,,,
로스쿨코멘터리,서인,법정,,,,
마녀의연애,반기리,로맨스,,,,
마요르카파일,이렌리스,범죄,,,,
마우스,최란,스릴러,,,,
마의,김이영,사극,,,,
마이프린세스,장영실,로맨틱코미디,,,,
마인,백미경,스릴러,,,,
마천대루,허조임,미스터리,,,,
머니게임,이영미,정치,,,,
멀리서보면푸른봄,고연수,청춘성장,,,,
메모리스트,안도하,범죄,,,,
멜랑꼴리아,김지운,청춘성장,,,,
멜로가체질,이병헌,로맨스,,,,
명불허전,김은희,의학,,,,
모두의거짓말,전영신,범죄,,,,
모래시계,송지나,법정,,,,
모범택시,오상호,범죄,,,,
모범형사,최진원,범죄,,,,
목욕탕집남자들,김수현,가족,,,,
목표가생겼다,류솔아,청춘성장,,,,
뫼비우스:검은태양,유상,액션,,,,
무법변호사,윤현호,법정,,,,
무인시대,유동윤,사극,,,,
무자식상팔자,김수현,코미디,,,,
미생,정윤정,청춘성장,,,,
미스몬테크리스토,정혜원,멜로,,,,
미스터션샤인,김은숙,퓨전사극,,,,
미스티,김제인,멜로,,,,
미스함무라비,문유석,법정,,,,
미씽그들이있었다,반기리,판타지,,,,
미치지않고서야,정도윤,청춘성장,,,,
밀회,정성주,멜로,,,,
바람과구름과비,이병주,사극,,,,
바람은불어도,문영남,가족,,,,
바람피면죽는다,이성민,스릴러,,,,
반의반,이숙연,청춘성장,,,,
밥이되어라,하청옥,가족,,,,
밥잘사주는예쁜누나,김은,멜로,,,,
방법,연상호,스릴러,,,,
배가본드,장영철,액션,,,,
배드앤크레이지,김새봄,액션,,,,
백일의낭군님,노지설,퓨전사극,,,,
백희가돌아왔다,임상춘,가족,,,,
번외수사,이유진,액션,,,,
별에서온그대,박지은,로맨틱판타지,,,,
보쌈-운명을훔치다,김지수,퓨전사극,,,,
보이스3,마진원,범죄,,,,
보이스시즌4,마진원,범죄,,,,
보좌관,이대일,스릴러,,,,
복수해라,김효진,스릴러,,,,
복제인간,미상,미스터리,,,,
부모님전상서,김수현,가족,,,,
부부의세계,주현,막장,,,,
부부클리닉사랑과전쟁,권도희,막장,,,,
부부클리닉사랑과전쟁2,권도희,막장,,,,
부암동복수자들,김이지,막장,,,,
부활,김지우,범죄,,,,
불가살,권소라,스릴러,,,,
불멸의이순신,윤선주,사극,,,,
불새2020,이유진,멜로,,,,
뷰티인사이드,임메아리,로맨틱코미디,,,,
뷰티학개론,김민석,청춘성장,,,,
브람스를좋아하세요,류보리,로맨스,,,,
블랙독,박주연,청춘성장,,,,
비밀,정유경,청춘성장,,,,
비밀의남자,이정대,막장,,,,
비밀의숲,이수연,범죄,,,,
비밀의숲2,이수연,범죄,,,,
빈센조,박재범,범죄,,,,
빛나라은수,김민주,막장,,,,
빠담빠담,노희경,로맨틱판타지,,,,
빨강구두,황순영,범죄,,,,
뻐꾸기둥지,황순영,막장,,,,
사랑과야망,김수현,막장,,,,
사랑과진실,김수현,막장,,,,
사랑의꽈배기,이은주,막장,,,,
사랑의불시착,박지은,로맨틱코미디,,,,
사생활,유성열,범죄,,,,
사이코메트리그녀석,양진아,로맨스,,,,
사이코지만괜찮아,조용,의학,,,,
산후조리원,김지수,멜로,,,,
상도,최완규,사극,,,,
상속자들,김은숙,로맨틱코미디,,,,
서울뚝배기,김운경,코미디,,,,
선배그립스틱바르지마요,채윤,로맨스,,,,
설강화:SNOWDROP,유현미,퓨전사극,,,,
성김대건,미상,종교,,,,
세상어디에도없는착한남자,이경희,멜로,,,,
세여자가출소동,최해철,가족,,,,
속아도꿈결,여명재,가족,,,,
손THEGUEST,권소라,스릴러,,,,
솔약국집아들들,조정선,가족,,,,
쇼윈도:여왕의집,한보경,멜로,,,,
수상한삼형제,문영남,막장,,,,
숨바꼭질,설경은,미스터리,,,,
쉿그놈을부탁해,자인,코미디,,,,
슈츠,김정민,법정,,,,
스타트업,박혜련,로맨틱코미디,,,,
스토브리그,이신화,스포츠,,,,
슬기로운감빵생활,정보훈,블랙코미디,,,,
슬기로운의사생활,이우정,의학,,,,
슬기로운의사생활2,이우정,의학,,,,
슬기로운의사생활시즌2,이우정,의학,,,,
시그널,김은희,범죄,,,,
시를잊은그대에게,명수현,의학,,,,
시지프스,이제인,판타지,,,,
시카고타자기,진수완,로맨틱판타지,,,,
시크릿부티크,허선희,멜로,,,,
식샤를합시다,임수미,로맨틱코미디,,,,
식샤를합시다2,임수미,로맨틱코미디,,,,
식샤를합시다3:비긴즈,임수미,로맨틱코미디,,,,
신데렐라와네명의기사,민지은,로맨스,,,,
신사와아가씨,김사경,로맨틱코미디,,,,
신입사관구해령,김호수,퓨전사극,,,,
십시일반,최경,스릴러,,,,
싸우자귀신아,이대일,판타지,,,,
쌈마이웨이,임상춘,청춘성장,,,,
쌉니다천리마마트,김솔지,코미디,,,,
쌍갑포차,하윤아,판타지,,,,
써치,구모,스릴러,,,,
써클:이어진두세계,김영현,판타지,,,,
아내의유혹,김순옥,막장,,,,
아는건별로없지만가족입니다,김은정,가족,,,,
아는와이프,양희승,로맨틱판타지,,,,
아랑사또전,정윤정,퓨전사극,,,,
아모르파티,남선혜,가족,,,,
아무도모른다,김은향,범죄,,,,
아빠셋엄마하나,조명주,로맨틱코미디,,,,
아스달연대기,김영현,판타지,,,,
아워걸,토니,밀리터리,,,,
아이가다섯,정현정,가족,,,,
아이를찾습니다,김보라,가족,,,,
아이리스2,조규원,액션,,,,
아이템,정이도,판타지,,,,
아테나:전쟁의여신,김현준,액션,,,,
아현동마님,임성한,막장,,,,
아홉수소년,박유미,로맨틱코미디,,,,
악마가너의이름을부를때,노혜영,스릴러,,,,
악마판사,문유석,법정,,,,
악의꽃,유정희,멜로,,,,
안녕나야,유송이,로맨틱판타지,,,,
알고있지만,정원,로맨틱코미디,,,,
알함브라궁전의추억,송재정,판타지,,,,
암행어사조선비밀수사단,박성훈,퓨전사극,,,,
애정의조건,문영남,멜로,,,,
앨리스,김규원,판타지,,,,
야망의전설,최완규,시대극,,,,
야식남녀,박승혜,로맨틱코미디,,,,
야인시대,이환경,시대극,,,,
어느날우리집현관으로멸망이들어왔다,임메아리,로맨틱판타지,,,,
어비스,문수연,스릴러,,,,
어사와조이,이재윤,퓨전사극,,,,
어서와,주화미,로맨틱판타지,,,,
어쩌다가족,백지현,코미디,,,,
어쩌다발견한하루,인지혜,로맨틱판타지,,,,
언니는살아있다,김순옥,스릴러,,,,
언더커버,백철현,정치,,,,
엄마가바람났다,안서정,가족,,,,
엄마가뿔났다,김수현,가족,,,,
엄마의섬,우병우,미스터리,,,,
엉클,박지숙,가족,,,,
에덴의동쪽,나연숙,멜로,,,,
여신강림,이시은,로맨틱코미디,,,,
연모,한희정,퓨전사극,,,,
연애는귀찮지만외로운건싫어,조진국,로맨틱코미디,,,,
연애말고결혼,주화미,로맨스,,,,
연애시대,박연선,로맨스,,,,
열여덟스물아홉,고봉황,로맨틱코미디,,,,
열혈사제,박재범,범죄,,,,
영웅시대,이환경,시대극,,,,
오나의귀신님,양희승,로맨틱판타지,,,,
오로라공주,임성한,막장,,,,
오마이베이비,노선재,로맨스,,,,
오마이비너스,김은지,로맨틱코미디,,,,
오삼광빌라,윤경아,가족,,,,
오월의멜로,황민아,로맨스,,,,
오월의청춘,이강,시대극,,,,
오자룡이간다,김사경,막장,,,,
오주인님,조진국,멜로,,,,
오케이광자매,문영남,가족,,,,
오필승봉순영,강은경,멜로,,,,
옥란면옥,조용,가족,,,,
옷소매붉은끝동,정해리,퓨전사극,,,,
왓쳐,한상운,스릴러,,,,
왕가네식구들,문영남,막장,,,,
왕과비,정하연,사극,,,,
왕의얼굴,이향희,사극,,,,
왕이된남자,김선덕,사극,,,,
왜그래풍상씨,문영남,가족,,,,
외출,류보리,가족,,,,
용의눈물,이환경,사극,,,,
우리가결혼할수있을까,하명희,멜로,,,,
우리가사랑할수있을까,박민정,멜로,,,,
우리사랑했을까,이승진,멜로,,,,
우아한가,권민수,정치,,,,
우아한모녀,오상희,막장,,,,
우아한친구들,박효연,막장,,,,
운명과분노,강철웅,멜로,,,,
웃어라동해야,문은아,막장,,,,
원더우먼,김윤,로맨틱코미디,,,,
월간집,명수현,로맨틱코미디,,,,
위험한약속,마주희,멜로,,,,
유령을잡아라,소원,미스터리,,,,
유미의세포들,김윤주,로맨스,,,,
육룡이나르샤,김영현,퓨전사극,,,,
은주의방,박상문,청춘성장,,,,
응급남녀,최윤정,의학,,,,
응답하라1988,이우정,시대극,,,,
응답하라1994,이우정,시대극,,,,
응답하라1997,이우정,시대극,,,,
의사요한,김지운,의학,,,,
이미테이션,최선영,로맨스,,,,
이번생은처음이라,윤난중,로맨스,,,,
이번주아내가바람을핍니다,이남규,멜로,,,,
이벤트를확인하세요,김태주,로맨틱코미디,,,,
이산,김이영,사극,,,,
이웃집꽃미남,김은정,로맨틱코미디,,,,
이태원클라쓰,조광진,청춘성장,,,,
인간실격,김지혜,멜로,,,,
인수대비,정하연,사극,,,,
인어아가씨,임성한,막장,,,,
인현왕후의남자,송재정,퓨전사극,,,,
자백,임희철,법정,,,,
자이언트,장영철,정치,,,,
저녁같이드실래요,김주,로맨스,,,,
전원일기,차범석,가족,,,,
제3공화국,이영신,정치,,,,
제3의매력,박희권,로맨틱코미디,,,,
제4공화국,김광휘,정치,,,,
제5공화국,유정수,정치,,,,
제발그남자만나지마요,김정희,로맨틱코미디,,,,
제빵왕김탁구,강은경,청춘성장,,,,
조선로코녹두전,임예진,사극,,,,
조선미인별전,경민선,퓨전사극,,,,
조선미인열전,백인엽,사극,,,,
조선총잡이,이정우,퓨전사극,,,,
좀비탐정,백은진,액션,,,,
주군의태양,홍정은,로맨틱코미디,,,,
주몽,최완규,사극,,,,
지금헤어지는중입니다,제인,로맨스,,,,
지리산,김은희,스릴러,,,,
직장의신,윤난중,로맨틱코미디,,,,
진심이닿다,이명숙,로맨스,,,,
질투의화신,서숙향,로맨틱코미디,,,,
징비록,정형수,사극,,,,
찬란한내인생,서정,가족,,,,
찬란한유산,소현경,로맨스,,,,
처음이라서,정현정,청춘성장,,,,
천일의약속,김수현,멜로,,,,
철인왕후,최아일,퓨전사극,,,,
첫사랑,고은님,멜로,,,,
청춘기록,하명희,청춘성장,,,,
청춘의덫,김수현,청춘성장,,,,
최고다이순신,정유경,막장,,,,
최고의이혼,문정민,가족,,,,
추노,천성일,퓨전사극,,,,
출사표,문현경,로맨틱코미디,,,,
치즈인더트랩,고선희,로맨틱코미디,,,,
카이로스,이수현,판타지,,,,
키스앤더시티,미상,로맨스,,,,
타임즈,이새봄,미스터리,,,,
태양의여자,김인영,스릴러,,,,
태양의후예,김은숙,로맨스,,,,
태조왕건,이환경,사극,,,,
태종이방원,이정우,사극,,,,
터널,이은미,범죄,,,,
토지,이홍구,시대극,,,,
톱스타유백이,이소정,로맨틱코미디,,,,
트랩,남상욱,범죄,,,,
트레인,박가연,스릴러,,,,
트웬티트웬티,성소은,청춘성장,,,,
특별근로감독관조장풍,김반디,판타지,,,,
파도가부른다,조상환,밀리터리,,,,
펜트하우스,김순옥,막장,,,,
펜트하우스2,김순옥,막장,,,,
펜트하우스3,김순옥,막장,,,,
편의점샛별이,손근주,로맨틱코미디,,,,
평일오후세시의연인,유소정,멜로,,,,
포도밭그사나이,조명주,로맨틱코미디,,,,
푸른거탑,김기호,코미디,,,,
풀하우스,민효정,로맨틱코미디,,,,
품위있는그녀,백미경,막장,,,,
풍선껌,이미나,청춘성장,,,,
프리스트,문만세,미스터리,,,,
하나뿐인내편,김사경,로맨틱코미디,,,,
하늘에서내리는일억개의별,송혜진,스릴러,,,,
하늘이시여,임성한,막장,,,,
하백의신부2017,정윤정,판타지,,,,
하이바이마마,권혜주,코미디,,,,
하이클래스,정세령,멜로,,,,
학교2021,동희선,청춘성장,,,,
학교기담-8년,윤진,미스터리,,,,
학교기담-응보,김정구,미스터리,,,,
한번다녀왔습니다,양희승,로맨틱코미디,,,,
한사람만,문정민,멜로,,,,
해를품은달,진수완,퓨전사극,,,,
해신,정진옥,사극,,,,
해치,김이영,사극,,,,
해피니스,한상운,로맨틱판타지,,,,
허쉬,김정민,멜로,,,,
허준,최완규,사극,,,,
호텔델루나,홍정은,로맨틱판타지,,,,
홈타운,주진,스릴러,,,,
홍천기,하은,로맨틱판타지,,,,
화유기,홍정은,판타지,,,,
화평공주체중감량사,김은령,퓨전사극,,,,
황금빛내인생,소현경,로맨스,,,,
황후의품격,김순옥,퓨전사극,,,,
힐러,송지나,액션,,,,
